index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,before_tiktok_date,cm_artist_id
400,90,2020-11-08,Chica Ideal,Sebastián Yatra & Guaynaa,USUM72017740,4.71428571428571,31663656.0,97,2020-10-16,2020-11-01,13516
401,92,2020-11-08,Nem Guindaste,JottaPe,BXKZM2000655,4.71428571428571,31496821.0,109,2020-09-29,2020-11-01,735110
402,95,2020-11-08,At My Worst,pinksweatsmusic,USAT22003823,6.71428571428571,30211836.0,103,2020-07-17,2020-11-01,1118137
403,96,2020-11-08,Gözler Üzerimde,Yaren Alaca,TRBUL2000030,5.14285714285714,31740100.0,35,2020-10-21,2020-11-01,3999836
404,97,2020-11-08,Whoopty,Real CJ,USA2P2031043,,31140457.0,87,2020-08-20,2020-11-01,826529
405,99,2020-11-08,Aesthetic,Xilo,QZFZ22071847,5.28571428571429,28796568.0,223,2020-02-14,2020-11-01,3377623
406,101,2020-11-08,Sweet & Sour,Jawsh 685,USSM12005132,5.28571428571429,31226592.0,98,2020-09-04,2020-11-01,3654834
407,46,2020-11-15,Bodak Yellow,Cardi B,USAT21701762,,15093590.0,9,2017-11-17,2020-11-08,200408
408,50,2020-11-15,Astronomia,Chiky Dee Jay,ART0G1808448,66.0,29088764.0,160,2020-04-12,2020-11-08,719519
409,75,2020-11-15,Out the Frame,Marv Allen,QZK6F2001433,56.428571428571395,31846333.0,60,2020-09-24,2020-11-08,1459574
410,86,2020-11-15,Blue Bird (Naruto Shippuden) [feat. Animelmack],Berioska,QZFZ62022436,51.28571428571429,29659569.0,110,2020-03-28,2020-11-08,1374584
411,89,2020-11-15,Elastic,Joey Purp,QZEGJ1800004,95.8571428571429,20533213.0,90,2018-09-13,2020-11-08,110260
412,91,2020-11-15,North Memphis,Pharmacist,QZHNC1902102,10.5714285714286,28170775.0,167,2019-08-07,2020-11-08,3526811
413,94,2020-11-15,Spongebob,Dante9k,QZFYZ2047242,7.428571428571429,32023663.0,199,2020-01-28,2020-11-08,3825842
414,95,2020-11-15,Hislerim,Serhat Durmus,TCADT1883474,2.42857142857143,20393105.0,134,2018-08-10,2020-11-08,420610
415,99,2020-11-15,Lofi,Domknowz,QZFZ42089472,2.57142857142857,28931601.0,180,2020-02-28,2020-11-08,3582396
416,100,2020-11-15,Took Her To The O,King Von,USUYG1296663,2.85714285714286,28552271.0,114,2020-02-21,2020-11-08,1136101
417,1,2020-11-22,Adderall (Corvette Corvette),Popp Hunna,USA2P2036916,,31753663.0,72,2020-10-15,2020-11-15,3436485
418,3,2020-11-22,It's Tricky,RUN DMC,USAR18600005,21.857142857142897,15051716.0,244,2010-04-30,2020-11-15,206566
419,4,2020-11-22,Therefore I Am,BILLIE EILISH,USUM72021500,,31948804.0,46,2020-11-12,2020-11-15,5596
420,6,2020-11-22,Shower,Becky G,USRC11400866,,15676244.0,69,2014-10-17,2020-11-15,4236
421,13,2020-11-22,pov,arianagrande,USUM72020441,,31826434.0,32,2020-10-30,2020-11-15,3963
422,22,2020-11-22,Тлеет,Bula,SMRUS0065742,,31819219.0,25,2020-10-20,2020-11-15,4016753
423,23,2020-11-22,WATAFUK?!,Morgenshtern & Lil Pump,FR26V2030732,,31948292.0,57,2020-11-13,2020-11-15,1003897
424,24,2020-11-22,DÁKITI,Jhaycortez,QZGWX2053010,,31974516.0,64,2020-11-07,2020-11-15,726832
425,30,2020-11-22,El Aguacate Es Potasio - TikTok Version,Hey Santana,QZMEP2041048,,31783549.0,31,2020-10-22,2020-11-15,914227
426,33,2020-11-22,sonido original,Karol G,USUM72019324,,31751726.0,69,2020-10-23,2020-11-15,206809
427,34,2020-11-22,Joro,WizKid,USRC11901068,,24414472.0,67,2019-07-10,2020-11-15,4390
428,35,2020-11-22,Fuck It Up,Ocho Drippin,USUYG1207314,,20494883.0,41,2018-08-31,2020-11-15,1204551
429,36,2020-11-22,Ягода Малинка,ХАБИБКА,RUA1D2064344,,32001549.0,72,2020-11-17,2020-11-15,1032415
430,37,2020-11-22,CONVOQUEI TODAS PIR4NHA,DJ VITINHO BDP & DJ Arthur ZL & MC Mn & MC RD,US3DF2085678,,31729205.0,67,2020-09-06,2020-11-15,4003190
431,38,2020-11-22,Call 911,Trunks & Cjota,QZ5AB1979905,,20211270.0,31,2018-05-21,2020-11-15,1043949
432,49,2020-11-22,Wrap Me In Plastic (Slowed Down Version),CHROMANCE & Marcus Layton,DEE862000406,,28858320.0,7,2020-03-27,2020-11-15,761477
433,73,2020-11-22,Line Without a Hook,Ricky Montgomery,USA2P1624696,,14803912.0,71,2016-04-08,2020-11-15,41976
434,75,2020-11-22,BICHOTA,Karol G,USUM72019324,,31751726.0,74,2020-10-23,2020-11-15,206809
435,79,2020-11-22,Fever,Dua Lipa,GBAHT2000834,,31822547.0,72,2020-10-29,2020-11-15,5381
436,88,2020-11-22,Mamacita,Yanix,FRX872007945,,31526741.0,32,2020-10-02,2020-11-15,588868
437,91,2020-11-22,One Love,Now United,QZBQM2000024,,31888712.0,72,2020-11-06,2020-11-15,1085344
438,94,2020-11-22,Jingle Bell Rock,Bobby Helms,USMC15746480,5.14285714285714,15529965.0,71,2015-10-28,2020-11-15,203875
439,95,2020-11-22,Hold On,Extreme Music,GBBPP1509812,,12593114.0,71,2015-06-19,2020-11-15,474449
440,98,2020-11-22,THICK (feat. Megan Thee Stallion) (Remix),DJ Chose & Megan Thee Stallion,CA5KR2105823,,31823084.0,51,2020-10-30,2020-11-15,139491
441,100,2020-11-22,Silence,Silent,TCABF1246524,1.28571428571429,20057797.0,181,,2020-11-15,184128
442,101,2020-11-22,Melody (1983 Club Vinyl Mix),Plustwo,USCGH1941348,,22698569.0,72,2019-02-20,2020-11-15,1432273
443,24,2020-11-29,Teach Me How To Dougie,Classics Reborn,USQY51330295,33.4285714285714,15647122.0,68,2013-02-08,2020-11-22,273773
444,58,2020-11-29,Opaul,Freddie Dredd,USDY41838659,,19239692.0,20,2018-04-26,2020-11-22,689472
445,62,2020-11-29,the remedy for a broken heart (why am I so in love),XXXTENTACION,USUG11800488,,18766734.0,197,2018-03-16,2020-11-22,74419
446,68,2020-11-29,A Thousand Years,christina perri,USAT21102141,,15085781.0,204,2016-11-18,2020-11-22,3684
447,83,2020-11-29,Obviously,AyhTee,QZHNA1971359,4.85714285714286,27622738.0,28,2019-12-01,2020-11-22,3442208
448,88,2020-11-29,Just the Two of Us,"Grover Washington, Jr.",USEE19901162,3.5714285714285694,15275075.0,119,2010-12-08,2020-11-22,11492
449,95,2020-11-29,Elevator Music,Bohoman,GBSMU7379010,3.71428571428571,29115051.0,163,2019-11-14,2020-11-22,4064537
450,18,2020-12-06,Drugs (feat. Two Feet),UPSAHL,USQX91803133,13.714285714285701,22290224.0,60,2019-01-18,2020-11-29,521020
451,62,2020-12-06,Money (amended),Cardi B,USAT21811495,7.28571428571429,21851577.0,86,2018-10-23,2020-11-29,200408
452,70,2020-12-06,Honey Pack,Bfb Da Packman,QMBZ92064644,63.428571428571395,31761980.0,53,2020-10-23,2020-11-29,1628920
453,71,2020-12-06,Bitch Go Die,SPEED GANG,TCADR1833177,4.85714285714286,20317501.0,71,2018-06-06,2020-11-29,783341
454,75,2020-12-06,Problemas,Paris Boy,QZK6F2044892,4.0,31656950.0,91,2020-10-11,2020-11-29,3714079
455,78,2020-12-06,It's Beginning to Look a Lot like Christmas,Michael Bublé,USRE11100700,7.28571428571429,15691786.0,72,2012-10-16,2020-11-29,1607
456,83,2020-12-06,We Wish You a Merry Christmas,Merry Christmas,USA370529811,10.4285714285714,14825305.0,63,1979-10-01,2020-11-29,280
457,85,2020-12-06,Fake,The Tech Thieves,QZ8GX1700268,3.5714285714285694,20319626.0,209,2018-08-03,2020-11-29,12525
458,91,2020-12-06,Naruto,Slikkante,QZK6N2069670,2.57142857142857,32294238.0,94,2020-08-17,2020-11-29,4070258
459,92,2020-12-06,Reloj,Rauw Alejandro & Anuel AA,USSD12000471,7.857142857142861,31750071.0,88,2020-10-22,2020-11-29,224838
460,93,2020-12-06,Лалипап,ГАНВЕСТ,FR26V2064602,8.85714285714286,32083650.0,68,2020-11-26,2020-11-29,1020724
461,9,2020-12-13,HOLIDAY,lil nas x,USSM12006375,,31951346.0,37,2020-11-13,2020-12-06,1366172
462,10,2020-12-13,Body,Megan Thee Stallion,QMCE32000683,,32021398.0,44,2020-11-20,2020-12-06,788785
463,11,2020-12-13,Hecha Pa' Mi,Boza,USSD12000196,,30539377.0,42,2020-07-31,2020-12-06,155051
464,13,2020-12-13,Talk N Bout (Talm Bout) [feat. Lil Jay],Loui,USLD91723597,,28260938.0,39,2020-01-03,2020-12-06,3443703
465,22,2020-12-13,BEBÉ,Camilo,USSD12000562,,32076413.0,53,2020-11-25,2020-12-06,1355995
466,23,2020-12-13,Trappea - Remix,Locura Mix,ART0G2002051,,31502587.0,49,2020-08-31,2020-12-06,1567362
467,25,2020-12-13,Melek,Reynmen,DGA052044950,,32182498.0,50,2020-12-06,2020-12-06,751128
